kanbun,kundoku,modern
"今者有リ<2>小(しゃう)人(じん)之(の)言(げん)<1>、{令(し)}ム<2>将軍{ヲシテ}与(と)<0>臣(しん)有{ラ}<1><0>郤(げき)。","今者小人の言有り、将軍{をして}臣と郤有ら{しむ}。","今、つまらないものの言葉があり、将軍{に}私と仲違いを{させる}のだ。"
"{不(ず)ンバ<0>然(しか)ラ}、籍(せき){何ヲ以(もつ)テ}至{ラン}<0>此(ここ)ニ。","然{らずんば}、籍何{を}以{て}此に至{らん}。","{そうでなければ}、(私)籍は{どうして}このような始末に及ぶことが{あろうか}。{いや}及ば{ない}。"
"{不(しか)者(ら)ズンバ}、若(なんぢ)ガ属皆{且}(まさ)ニ<0>{為(な)ラント}<0>{所ト}<0>虜ト{スル}。","不者{ずんば}、若が属皆{且に}虜と{する}所{と}為{らんとす}。","{そうしなければ}、おまえたちの仲間は、{いまにも}皆(彼のために)捕虜{とされ}てしまう{であろう}。"
